"대분류","소분류","product_rank","product_title","product_price","product_review","product_url"
"스킨케어","넥케어","
                      best
                      1
                  ","
                벨라수 기린 넥프팅 크림 45g
                  ","
                최저6,250원
                        "," 상품평 (2,925)","https://cr2.shopping.naver.com/adcr.nhn?x=uB0QxLFTy8RRhr295XOI%2BP%2F%2F%2Fw%3D%3DsP4BmxrgQnZu0bvuFkJVLEiKrrGmYtnK2fcD34DlmyS3fu6oyE7DHAoh5jWGLJfKp21o7A69E4hHD37VFXX7mIo0umbRsEGfRT6LItT3Ik6eba0YjDpM%2FTAhKMwdTawbS4ZJ1yhgbIwyc0Vzw8hlsYMt31Fyt68lal37inYyponkqjgjWudOcde%2FjNwY9lsSnHgh2HkJBoMYscKHK8b%2BFkg3%2BduznaSS%2FlXKadLD1dfF1LxCE%2F3Zpsj8l0nThrmD8hsiRfM8uPfJ4q%2FSik8VnVNqUHsgHKRqzd6nX3jcvUwNAyJ0E5ZZ4JwNcjVikpEkvmHGCRnDCD%2Fs9hovS%2Bt1gJs2NSkMGOWOCLg00DFkN85cpzOlCzwFxqBmRzQmTW5crer4yvD%2Bq7axR4zkkFF01LLj9ke1TzZ94EJLPtxcSPb0VB%2Fd9YwyIjbPFvZKa9eyhBr6V4COYm9RLk2BnM%2FLDoHo%2BQqcvRLED1PggeDdAg%2BFGPP57jHuY9WsUAnvdepwnvOT890MlayQBKdlLovebyTaN%2FbFMqJd47%2FWwwvyTVpMMJmUb0fWxJFIqoCY%2Fnu1tVf4Ez%2BJ%2FxgqA2eWB%2FuAF4nV4flywrBQEcNZtEUqHw4g%3D"
"스킨케어","넥케어","
                      best
                      2
                  ","
                메디필 나이테 실 넥크림 100ml
                  ","
                최저8,980원
                        "," 상품평 (2,663)","https://cr2.shopping.naver.com/adcr.nhn?x=p8CkZAnQPln%2B6wwkVeHzOP%2F%2F%2Fw%3D%3Ds957oEF44hQKFMkdGye7TM0E7Ap0ltc3wg854yctS3Ops%2BUGCwQi74eiQOi6fOvv0v7538vtwgPsVdrh0vV0fdo0umbRsEGfRT6LItT3Ik6eba0YjDpM%2FTAhKMwdTawbS4ZJ1yhgbIwyc0Vzw8hlsYMt31Fyt68lal37inYyponkqjgjWudOcde%2FjNwY9lsSnHgh2HkJBoMYscKHK8b%2BFkjelmxsw6pc0veNoaLdp%2FXKnX88wtfNvXkmhW8Gi0uwbhsiRfM8uPfJ4q%2FSik8VnVNqUHsgHKRqzd6nX3jcvUwNAyJ0E5ZZ4JwNcjVikpEkvmHGCRnDCD%2Fs9hovS%2Bt1gJsr8J7QTb5Iqc%2F2BOrrZ5NikPsf2OZDKBFGNSlFtkB6GLfGn5GqaUkfkZgRxMYuyX4pXmsKx3Qo2JRjWqud3%2FgoZaO1NXbgkpTBydkG%2FwTW6pqYRwWwRQLM0JaiUY14FoLFExZ1OfWUok06%2BmyXmDihZfbTCeAgWeZu7imhX%2B2%2BO9JtutUutKSX50ca%2BBzhn62Hn01hNSvhq5064A5xpbmD7vd4WXQ%2FhKHT72UXp5T5%2FJnrJNQFpRJd0gAXFC2nQCe6g7Y8C340UyA5U3ffP3OObVktbD4XnHxYf4ABq9Bam"
"스킨케어","넥케어","
                      best
                      3
                  ","
                벨라코스메틱 넥크림 프레스티지 에이지 킬...
                  ","
                최저13,680원
                        "," 상품평 (86)","https://cr2.shopping.naver.com/adcr.nhn?x=xv%2Fo4l%2F93LISFqXOJFdPHf%2F%2F%2Fw%3D%3DsyWYd%2BnypzPMBG5bmLN8WW7bcVGR6qM4JfR1IzQlfekJyIOEWmfT0tNolx2NKN23r%2FDFGwaewr9w96xGbL%2BT93O5r%2Fm9qg1JrK%2BB%2Br7hFJJhNCzbGt8clsviwVkUmrq2rRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOIusaNii0FzcEukXMQcwFIwOAxfc4mPpOeOgl21WGKSIf9aZw4zXXyPBGwlft5fvVL91AzabpBxQIRfSGnKvpT2GM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGg8S2z%2FtQHqAr7JLryzJrue7sLRws%2B2q8fY04fqfdccuFJEthuYVmknPr8Vc6223JxlMUwDGAvpDYKf8EYXdDnHm3JcSERcasXm6F5Jr3gRneq3zVRafuzX6S%2BkV5cusPUGBXgn2gmitmP15QWQsV2JK%2FwSDoz5ONjaDX8kxbJFptPWLYQXRkRA6Il9v04qn2oR04x6Vk8bmhLULRBigimuEVpdm%2FMhMwfZA6F9dHXB2DW49k7tvekMwctmYCU8Hysaj2XWWNzvzCXoLllASN1gmesk1AWlEl3SABcULadAJccBwDxYFDO2to5bTm8gZJw%3D%3D"
"스킨케어","넥케어","
                      best
                      4
                  ","
                이니스프리 자연발효 에너지 넥크림 80ml
                  ","
                최저11,140원
                        "," 상품평 (430)","https://cr2.shopping.naver.com/adcr.nhn?x=ieNqxrga%2F7KsJNEA7krnuv%2F%2F%2Fw%3D%3DsqWw3afUgYpjmdviejqUxC5cTYam3RK2yY5130sutMEqYkQg2C6g1SGBOecUlhu5JvlFJJLkUUTplwTTEUumSt%2B5r%2Fm9qg1JrK%2BB%2Br7hFJJhNCzbGt8clsviwVkUmrq2rRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOIusaNii0FzcEukXMQcwFIwJtA6yiA1WOjdtcIaDy19y0HeXQBNoLFMC3N%2FTOvMVeK91AzabpBxQIRfSGnKvpT2GM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGqrCDdEb4aOuj9N6x2%2BXJrS7sLRws%2B2q8fY04fqfdccuFJEthuYVmknPr8Vc6223J0yn8eLWY4x1VKGNd3SzLAnm3JcSERcasXm6F5Jr3gRnyCYXPbkS6nvbxV1C0WgWxzJ9ciHe53PvQdD8z%2BuI7qkj9U7072cntnTed%2BT9VNetP51oALHLaspzJMiPVBwREvSbbrVLrSkl%2BdHGvgc4Z%2BvBffvNFeWWHY0wRArtAZsDkbA45KlA4RryFhw5m6gDw1X%2BBM%2Fif8YKgNnlgf7gBeIEMZovoFzspzOn7X4poh%2BXN1%2BSR0cQde5HUknktbgjpw%3D%3D"
"스킨케어","넥케어","
                      best
                      5
                  ","
                네이처카인드 인텐스 리프팅 넥크림 50g
                  ","
                최저14,320원
                        "," 상품평 (1,019)","https://cr2.shopping.naver.com/adcr.nhn?x=alAQHJgEJrR1B7fh%2FUHO2%2F%2F%2F%2Fw%3D%3Dsegw6G4LI7IrzdTO4kzWVpeD2A6opMnHpmq5Fh2ix0dzMusFl3%2FHZvsNY%2FVdo3J7WJNg%2FTlDOM2v5NmmRBS0GSzGu0%2BFLxRlIaAHYL2PTZnqMbyYNnUKfhuAD97KH%2Bb9ZfS7FuEYIqVTygP9iDeHACZM%2BRie5j7Jq2q31kqaMVRh4ffyJgumtH06SzyJRCpdCyBSyWdkFBN5LNvzhE7oQMMQL%2FY1FKCE4N57%2BFxAjtjx1qXyHS5rBQyMgFA6yskpj3Tg2Ry0vHLJhIAih9EB8%2BoLIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsjvvCkGcmSbUp1pZfxtP8EoCY%2BztIHkbQpd45uEAONbykPsf2OZDKBFGNSlFtkB6GopSV0of%2FcnoCGjI3t9VTXglGFN0upO7qC3SCkxGPZKwZaO1NXbgkpTBydkG%2FwTW61bsFhG1uFuKFFCkZIipPtceZH5kWH6uK7QGnNHbO6aJAczKYYwvJt7IHgdBPZwLgnRNcTbNb9LvdwWYIm68PAFxsK4NzE6ivljJxFRUn6E%2FK%2B0uXMXCY1wkX8Kq3qT%2BMxqPZdZY3O%2FMJeguWUBI3WCZ6yTUBaUSXdIAFxQtp0AlxwHAPFgUM7a2jltObyBkn"
"스킨케어","넥케어","
                      best
                      6
                  ","
                아이유 기능성 목주름팩 25g
                  ","
                최저17,400원
                        "," 상품평 (269)","https://cr2.shopping.naver.com/adcr.nhn?x=zpIpkt5jXn4Lb64ImXx6YP%2F%2F%2Fw%3D%3DsSob1CLuo%2F0ew8o6YF3ZfeRF8mvEqY8InwoBJwDGkAaxA8VJ7n6PsziN0lOtBbsn%2FUU%2BYFK2NKQMgs%2F8OREXxae5r%2Fm9qg1JrK%2BB%2Br7hFJJhNCzbGt8clsviwVkUmrq2rRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOIusaNii0FzcEukXMQcwFIwHu9OUeiaEncgQdQJi6aFqcuxpJQ3lkzc6tgkxUKymi391AzabpBxQIRfSGnKvpT2GM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGugmW69G41wqLQ4NkSRAP267sLRws%2B2q8fY04fqfdccuiEjviH5gpWQZ6eiYSCjAVkCM6QswojnWBdYrCKrvbunm3JcSERcasXm6F5Jr3gRnJIAU8%2FD6FY47%2FlMrMdKpxkMPJOiXajeIkbC%2FQagGFuUiOFFdsQxttt7QaK0IhwnYvOT890MlayQBKdlLovebydw1ukjEz%2BQIKtbqFL2qO237vd4WXQ%2FhKHT72UXp5T5%2FJnrJNQFpRJd0gAXFC2nQCe6g7Y8C340UyA5U3ffP3OObVktbD4XnHxYf4ABq9Bam"
"스킨케어","넥케어","
                      best
                      7
                  ","
                쁘띠페 24k 골드 넥크림 50g
                  ","
                최저10,900원
                        "," 상품평 (1,355)","https://cr2.shopping.naver.com/adcr.nhn?x=9M4mAKff0m1IcYS3zrW64%2F%2F%2F%2Fw%3D%3DsclSyei4vYqjxWNCBRrj2mTCoWYztSnJryOkEPDM7XxxNnZ%2BtwEhVLIPWM%2BClnYyFGENvDO%2FhITy5cXtKXn4hKjGu0%2BFLxRlIaAHYL2PTZnqMbyYNnUKfhuAD97KH%2Bb9ZfS7FuEYIqVTygP9iDeHACZM%2BRie5j7Jq2q31kqaMVRh4ffyJgumtH06SzyJRCpdCyBSyWdkFBN5LNvzhE7oQMHA8ZimTEWN4FmFXH7%2F%2FXPOnIt9qS8H79DE53bTM3JNhjckNvZgGVJPIKj7DQ%2BFgqh3fIBMPZc5fkShT%2BAFLZ7RG6WxmL6JlLJQ15ICOAJLBSBb58biM6Ziir%2B%2FjWgtTHr3lH9QCnXvCK12f0hR0mW7DZBko1ekK5JxAWwGApNlH89setzgZvWvce1R176%2Fd9%2FDdIHZWFBpX%2BezJjQljbpBlaLCMFj2vSprdZ3noqN2F4nSiBPTbLX7iBb4G5hlvSOxhfAXGv3Y8t5i9NL0z6n1u0bCiHKKTkpGkCEj5VxeiC0SqQv9%2F0hW4EQVcIXnv1x%2FsbeejhbM9rL1gbRl01shvran6%2B6TGb0KXvimU2aN1xSBd5An3N9eR9jGh0DOwMOJsEUqostIzDE9gQUMdHGM%3D"
"스킨케어","넥케어","
                      best
                      8
                  ","
                벨라코스메틱 넥크림 얼티메이트 에이지 킬...
                  ","
                최저11,940원
                        "," 상품평 (260)","https://cr2.shopping.naver.com/adcr.nhn?x=BNWzyWt83DxYuvGBtITBDf%2F%2F%2Fw%3D%3DsC7BpjzKYchcOPPkpM3K8JG1V6PvOaLV8o%2Ff7%2BFNPgkOxzcTu4du01AIv8%2BC5BYBFW25k3Q1VpPvCnVmBXCkKWqqLmtmAo7s%2BcIxqqOdlMUPmivCY4ptGUg0mhhwj2SRPoC9VgPnB016qWjqH%2FW74PlLQyUT1mGnRl17GUsatHr8g%2Bw%2F4QvDbD1Sg4XRD5OP6p0E01GfglVQP0Cv%2FWI%2B5pA%2FyaPC7r12VrxGnFX%2F9uovEbF4SxAzCQSRjojbGGwMFN95S7MdmpkRIGwK8e9cRPWVyf4fEeIwpi1WJR%2F5%2FpRf41b1TvfQyNa7hciW%2Br3JhZZiQcNYjXmUeAMkutJpC7dHpF%2FTEX5pcmxbqaTvE8bnltdc4TVMpv78iZHH96lOYgV8Xxv6uh1BOWWJrsiamiPjAV76KVGc2dTxqa5Ghay8uJl6249h2e77v1ElBwqxIDgpsylbgaLtpE5wYxz7Vl5L5rZcvBZ%2Bv%2BjlrUGQdQkkNJJsodtM1e2LFfnM0oCNNClHyarCFV0UKiDOtYD7QsiG7fb4TeRTI1MDEAkQNtfOYEtmEk7cTpAUb8Z9Zc%2BpY8qnozwekWQTE5pk3IWVC8wwmZRvR9bEkUiqgJj%2Be7W1V%2FgTP4n%2FGCoDZ5YH%2B4AXidXh%2BXLCsFARw1m0RSofDiA%3D%3D"
"스킨케어","넥케어","
                      best
                      9
                  ","
                이니스프리 자연발효 에너지 넥크림 EX 80m...
                  ","
                최저10,800원
                        "," 상품평 (120)","https://cr2.shopping.naver.com/adcr.nhn?x=KME2gzY6DCSCu0aHj0B67v%2F%2F%2Fw%3D%3DsqzbBn8apgMOLsHY2OIT2V%2FCw%2B%2B0I59vL92sqLqiCpiBehOkLgagc4qCQ4x2nEGW86BXUR97zrZF2VLNnsxtKnZiuwabjQtVYQ8C8n3leI6R27C4FRAipa217EO3bcO4STYCivdJuwFMSzKe4x1Fc6HVVvVfMqaMPoh1quxqhy3RDsmqvcp8DMNrfLQrrj7uLp3YoiTQS5ENdEGu9Hg4zXvHhB%2BFxTjLsKljc6esvfk3O5kZclFFQJa8HX0FjP4Ck4G7PwpUaYxjuU5SlijunkYYlFAdf1OFsetsPTCIBnAuWvYwmJsa4bvUi%2Bv3z9EVhLdwNCixGWra%2B5W2Y7JkVEY7HLgGiQp5Q2hu%2BXlYkcFipg2fHI7YU8dFxs07kjR5XB1BokbTtpjAso75FBvfooDJwQK0LP3%2B1kgi%2BrYGpg82Xo4Ru3WZMEwyG145qtyZmrkH%2F%2FDoGzQSyeGQQlQn9RqyFCRGsrVlqDrQFaH1FyuaJwu2d2%2FRw4ykobWfEns%2FLreweQeK4rg%2Fo%2FV72ZeHoOZozPLj5eAhlnoa0M%2FWp3pxbKghJgmGR5AoOmeTzRiLvsgm4RXJPfyLISPAKSJWFMYbnbVDZMur7Ze%2B%2F64cTvFdjNzzCDtia3%2FA18ojShV0lvs7wO8E%2BS1QmV9xLymsQdA%3D%3D"
"스킨케어","넥케어","
                      best
                      10
                  ","
                DS래보래토리즈 벡섬SL 넥케어 이중턱 크림...
                  ","
                최저39,500원
                        "," 상품평 (600)","https://cr2.shopping.naver.com/adcr.nhn?x=NfHGHbLWXYJNuWWlTj6pff%2F%2F%2Fw%3D%3Dsr%2FPA0HVqBCCGhjHwNqlPobSFRP%2F5dne%2BcbwxvciyG0Eze8jmS4Ngnnabk8%2F36XfCslCpYsTvL%2FhHTnIjesqzr6qLmtmAo7s%2BcIxqqOdlMUPmivCY4ptGUg0mhhwj2SRPoC9VgPnB016qWjqH%2FW74PlLQyUT1mGnRl17GUsatHr8g%2Bw%2F4QvDbD1Sg4XRD5OP6p0E01GfglVQP0Cv%2FWI%2B5pB0xquxDTaUGwEftY%2FyTJ%2FnS%2FZUfc6r4gii4dL7E%2FLFMN95S7MdmpkRIGwK8e9cRPWVyf4fEeIwpi1WJR%2F5%2FpRf41b1TvfQyNa7hciW%2Br3JhZZiQcNYjXmUeAMkutJpC7WTKmzGIf2IOty3Y3cg%2B3iPltdc4TVMpv78iZHH96lOYgV8Xxv6uh1BOWWJrsiamiJKkRk%2BOVvhT%2Fz9fN1mn7I8uJl6249h2e77v1ElBwqxI8UqDhXdAFKK4VrqnI0HfMoEeIYIjZP0k8a%2BWHcU2T3EAlzyMyWG8QvEFTq0pQBnegDqEFv2x%2BbbKdmMDJ4s5LLH1hWzkbYCzNaXiOIczZuYVrSrMZFzWgLejbaoRYMPSNBXll1%2F4NDNIMnYpNg0MjYvohqG9dJLhEhBZEiNfEwOhnqatKek%2BYHbDD%2FitFtZgiavCiQ9DAgrlq%2BpQLxCGGQ%3D%3D"
