대분류,소분류,product_rank,product_title,product_price,product_review,product_url
바디케어,핸드케어,"
                      best
                      1
","
                강블리 항균 핸드 워시 파우더 300ml 파우더...
","
                최저3,000원
",상품평 (143),https://cr2.shopping.naver.com/adcr.nhn?x=XlRvbnT%2FBzk0Qwub1YoVLf%2F%2F%2Fw%3D%3DsdD5Eut%2BHOhdVXHZ0VcRij6Ld8feaSjqwPwtTzTJw5rA8c2hZhRxAkzVGHJzNQZ2Ww4LdoMWCBz59tbP%2B271KmVyX1pfUm0W7%2BcHR3wPaVbOfcMhSBnUTXgpkhFV8HNENRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOItgydPOkiuE5hlw4E9ImN0aQwuxP%2FKR3higYirRW%2FPr9Y4A6mYhcwkQgOLixj0bUY3Tg2Ry0vHLJhIAih9EB8%2BoLIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsjvvCkGcmSbUp1pZfxtP8EhIKpIEcuphJOsan%2BjJkpzjDZBko1ekK5JxAWwGApNlH2CI9yigPLb7IOzpCXlfY0aTfadB6OMeBgfCxG9WSrVVl410yQoVUuKGfhcEsQh9w60YLDdhdwou5f%2FfYhMxwOvJaNsSqscNHfhC3noagsLgopWv%2FcHuduKjIJ2An%2Fq%2Fg45sEUJ24d6UlGwSmW6dq1DtzFoa3FRd%2FWd1j3tZJ7vP0eloacdpKGITYljhkvfB%2BosBJTz9TijwZfKaGv6l%2BJFX%2BBM%2Fif8YKgNnlgf7gBeJTc4V9mgUae3JcBwFIxLh1EXYV93MPjzPuFz%2FE9azCTg%3D%3D
﻿바디케어,핸드케어,"
                      best
                      2
","
                랩신 V3 컬러체인징 핸드 워시 250ml
","
                최저3,100원
","상품평 (1,558)",https://cr2.shopping.naver.com/adcr.nhn?x=d3YjpTQqOw3JUO4kDy%2B2Cv%2F%2F%2Fw%3D%3DshfTULzyrIV4fVlsr54HsNyNEEA6N50d%2F0%2BGaAyhhphWOvXv%2B33v%2FNJU6czrVdrCv3lVmNfQv8xKflP8rKtf6XVyX1pfUm0W7%2BcHR3wPaVbOfcMhSBnUTXgpkhFV8HNENRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOItgydPOkiuE5hlw4E9ImN0aeRYwXQCSFJjccDJfIctUctKEDtjIHVfZKgUIK%2FKjRF3Tg2Ry0vHLJhIAih9EB8%2BoLIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsYxih2DNfD0LBjjio473ALK3d%2F3IZ4LDzL7E0f9Zb2MWkPsf2OZDKBFGNSlFtkB6GgaFu8EEARh2oPpRXyDIiHBP1wtMfXPzBnJhitRqtnywZaO1NXbgkpTBydkG%2FwTW6gVqeMC5bGsqW4n24sikPjFqOvQIGADj1y0dHEnOfWPP4uE8mdcqOTDhoKJ1%2FFBup%2B2cIC3JpIyWiBHiVn%2F4xfD1HcMnxpY7Ds4IpsqaKqFSwmDJdMxidVl0wdWsi%2FuwShudtUNky6vtl77%2FrhxO8V2M3PMIO2Jrf8DXyiNKFXSW%2BzvA7wT5LVCZX3EvKaxB0
﻿바디케어,핸드케어,"
                      best
                      3
","
                이솝 레버런스 아로마틱 핸드 워시 500ml
","
                최저39,120원
","상품평 (1,992)",https://cr2.shopping.naver.com/adcr.nhn?x=r5WSUHL0ejY8SN4CTLhS2v%2F%2F%2Fw%3D%3DsVFM70zRTUrGBH0qInVVMYtXvZtAh29sNT7tQ7lXJm%2BHM8%2BjlGOE6a2mh4FbBPx7pAb5v7RU3ulLdLt3hzxTJ10Ll81tpXqX8XrBP%2FxhXAaGzulvZImYg438YVv2r4HTN4ZJ1yhgbIwyc0Vzw8hlsYMt31Fyt68lal37inYyponkqjgjWudOcde%2FjNwY9lsSnB%2FLeIWURu66AOsYXUCS9TjTmGzoVLtrFI7Otr%2B6SuBkI12Ph8APTZG7Sts8l%2FXuMjckNvZgGVJPIKj7DQ%2BFgqh3fIBMPZc5fkShT%2BAFLZ7RG6WxmL6JlLJQ15ICOAJLBrntS6fMB%2Bzg3f5xLpWCDCp06h%2FmfoRHDcXgvBpTuseukPsf2OZDKBFGNSlFtkB6G3xcf3ES3Li9abCyp03ST4WaN2RdFObjYmJ9%2BNVgfC8sZaO1NXbgkpTBydkG%2FwTW6OBh70vxVu2jcCyBxWf1BVF3tmwmbS7tbQud83mT7Tb4eRnGVzZZEmJNms5CqWgc6TA%2FjAjenoi6mKr2Rkw4dXaaovTLbW%2BgWdto5xjc4R1RTGr7cawtKDa5bP7dcU5%2BjxqPZdZY3O%2FMJeguWUBI3WCZ6yTUBaUSXdIAFxQtp0AlxwHAPFgUM7a2jltObyBkn
﻿바디케어,핸드케어,"
                      best
                      4
","
                이솝 레저렉션 아로마틱 핸드밤 75ml
","
                최저21,900원
","상품평 (4,024)",https://cr2.shopping.naver.com/adcr.nhn?x=%2F6EzT9PqQQSDv3j8ACttdP%2F%2F%2Fw%3D%3DsKJdoSIDbi2o8MX0nkYldqC3MieVfuYQWtlFF34xv%2B4AfcJytZ0btkN5Z0eU64hWg3nyZ3ApgEbBgTEZIZrG8txApdS%2Bdj5IGpCbNdIjLdNu13CC%2B6xCjlVXczs8Y84y3oC9VgPnB016qWjqH%2FW74PlLQyUT1mGnRl17GUsatHr8g%2Bw%2F4QvDbD1Sg4XRD5OP6Ks1HNCV7zXm2%2BW0SZDISJDrazrgiAhlpizA0GDaXywxORM6oxZMU2rMBunjH0%2BA93Tg2Ry0vHLJhIAih9EB8%2BoLIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsYxih2DNfD0LBjjio473ALLUyUJN2DyssL%2F9Y93pG4vPDZBko1ekK5JxAWwGApNlHB%2BvmRbfQ5U0RtV3jJY2zeQOYDp8KEDNSqk2NX5xLAL5laLCMFj2vSprdZ3noqN2F2eos6xQUJ8UAIX%2Fc2BanVBpHiBINLr68%2BFliIs5ff8so2fztsT394Ot7gwpKXGx1%2B2cIC3JpIyWiBHiVn%2F4xfCfcJZwRmtMCMf3OhjATrxKabiN1M%2FT474lB9fgQKvX5hudtUNky6vtl77%2FrhxO8V2M3PMIO2Jrf8DXyiNKFXSW%2BzvA7wT5LVCZX3EvKaxB0
﻿바디케어,핸드케어,"
                      best
                      5
","
                랩신 V3 컬러체인징 핸드 워시 200ml(리필)
","
                최저1,130원
",상품평 (798),https://cr2.shopping.naver.com/adcr.nhn?x=MwvU%2B3TWA1kzMkvxOkGHtv%2F%2F%2Fw%3D%3DsU0dK%2BQdDJ9cd0pa%2BRwSRJkd0p9GaSXTUbcdqJ69itlvZld6tByHUKgEjjAe6Hyvw%2BFkH8hoQ7zMMr7lkvTxDlFi1oIzE33IsI6ZGIsamrlQLZg8mkWPU8NNUBU%2BQXgDJTYCivdJuwFMSzKe4x1Fc6HVVvVfMqaMPoh1quxqhy3RDsmqvcp8DMNrfLQrrj7uLaZbZNevZo2N12TWx%2BO%2B0ed9Hy4kESXXRgIRKM4bt0fW05E8ridNzh9Yeui5L%2B3if7X0lIHXLgpCz24WogchKoGM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGolijAhcQXE2bWxp5ouu%2BT%2B7sLRws%2B2q8fY04fqfdccu3Br%2FuTYmBb1qY61%2BLZHPcPVXM%2BWmGHf7vE83mq8Avhfm3JcSERcasXm6F5Jr3gRnpsfeWuP743li3QoBsfQV7klBQLkmWAiDfZL%2FYGqCoY4mLLPSBnWpnqCr1q5uYdQaW7gbWg6VBu8EX8DK3TqDaD42tuFponXCtIX0ZSQ9STx1nWbzNpwDU3ZXTaXb3mw1%2B73eFl0P4Sh0%2B9lF6eU%2BfyZ6yTUBaUSXdIAFxQtp0AnuoO2PAt%2BNFMgOVN33z9zjm1ZLWw%2BF5x8WH%2BAAavQWpg%3D%3D
﻿바디케어,핸드케어,"
                      best
                      6
","
                라이온코리아 아이깨끗해 핸드워시 청포도 ...
","
                최저1,270원
","상품평 (1,539)",https://cr2.shopping.naver.com/adcr.nhn?x=KTrHoB0WAWts2e7dCtBHwP%2F%2F%2Fw%3D%3DsjOhOQpDcUqV0C%2FHkyP9ATUDgjvvOJ0%2BCiR2zNBQ3mFIeCyAVuxNU5nMtvvHkUoHOLk3vi23v3rk2dKmIR%2Bm%2B90Ll81tpXqX8XrBP%2FxhXAaGzulvZImYg438YVv2r4HTN4ZJ1yhgbIwyc0Vzw8hlsYMt31Fyt68lal37inYyponkqjgjWudOcde%2FjNwY9lsSnB%2FLeIWURu66AOsYXUCS9TqGbo5wcC%2BDhnbW82SDI0swBHtsei1RvMsyuftRpmJ%2BNslO02ldZQOX7%2BoyNi%2FUAEbtN7WT3YMDZAkC6DkXxJpgb8swcQlcgrZRqsCZJ99GTIy00G4fwDpLJ7%2FmfqThatgb6TYyTz8fyJYoZgpMsSu%2BCjdeFw7vMoV%2Br4rRLEuiJ%2BvewAIBnQ%2BfO36w1AwodYA%2FEEev134XACxjkj%2BUjhf4uffTerJUugxOU%2BT6a1AEwlG7V15Ow6BqLDn%2FGFZ0y%2FQWCmfhgb940xthne3Z%2BrXM7fpVT%2BUJeYMVpxugNBRiQvTWRhnHHTs7ashGb2JCxcXn33DPXSuMM9ifwwHm0UHG4SgntzbRjlGgZzb43T%2BhqGdhgWlanaPBM5x1mczBBx3HSns6TXuZXP%2BVwu%2FAJ45Mmesk1AWlEl3SABcULadAJyXlYxfxyfk0wIk%2BOyWqYKA%3D%3D
﻿바디케어,핸드케어,"
                      best
                      7
","
                엠디스픽 바리스타 핸드크림 250g
","
                최저14,980원
","상품평 (2,140)",https://cr2.shopping.naver.com/adcr.nhn?x=L2pW7G0qnt7SMAHfimutxv%2F%2F%2Fw%3D%3DsZ5zKJXwINTxj3uFdd%2FGquwLQZ4INqFF%2FPv5u7AQEblentm0uQft5ssT38yAkFQcbrzGJNeJ5hWjozht5My%2Bn6olmEM8YkPb1OvlRaOBJ7KR2F%2BMJQxhEhRPFhB6IG%2BP1fS7FuEYIqVTygP9iDeHACZM%2BRie5j7Jq2q31kqaMVRh4ffyJgumtH06SzyJRCpdCoVZThQ7yzQCQyiMMswX2qFmatuAvch9Zbq5%2FH3i6iPOlUK3A5oKQUojw2U%2BLmEGaslO02ldZQOX7%2BoyNi%2FUAEbtN7WT3YMDZAkC6DkXxJpgb8swcQlcgrZRqsCZJ99GTEd1fi44QRGlQQQsd690cLgLLYaxq0ZVXqt9rCV8PcCyCjdeFw7vMoV%2Br4rRLEuiJ5duPyKhNYvtak204yrpq3Fdgdm02A3gwEKJZ%2FByLpCJlaLCMFj2vSprdZ3noqN2FyBOZhq%2B4%2FZD8SzGtru8PMbSmy9vAxYCIjLJZmzEIQgITA9ZpD5%2FsFzK7yu2zEi4yOybtEdB7MWcjgFXFj8ekXS4YY%2FX%2By5z65LVTgLYhZKx8uGvHsTwpr77R%2BB9KKM28Vf4Ez%2BJ%2FxgqA2eWB%2FuAF4lNzhX2aBRp7clwHAUjEuHURdhX3cw%2BPM%2B4XP8T1rMJO
﻿바디케어,핸드케어,"
                      best
                      8
","
                카밀 핸드 앤 네일 클래식 크림 100ml
","
                최저2,080원
","상품평 (9,325)",https://cr2.shopping.naver.com/adcr.nhn?x=DknBCzH7o2ybl27k38Cx9P%2F%2F%2Fw%3D%3DsW9HBVgB1Al8PHqKjXuHL8pCHhpnz7pOsz5AFZSc3anD3Vtw2cLvvfPGtoilcFnQd6oCS907%2B2umVm8DVe9AAJVyX1pfUm0W7%2BcHR3wPaVbOfcMhSBnUTXgpkhFV8HNENRlWAg7jYXVlpeyQTimj%2Fjp%2BiTH6XgWgbLVAj0yFiyb3t7PN1nlKY1EqjoSEKKgOItgydPOkiuE5hlw4E9ImN0Sgf3SXLSpUXu1lNo5mB0IepeGi2PO7i1C%2BlXVK%2BNRV%2FjckNvZgGVJPIKj7DQ%2BFgqh3fIBMPZc5fkShT%2BAFLZ7RG6WxmL6JlLJQ15ICOAJLBKhqKspWo68sgYyB162UR9CYPHe0oIG9%2F5Wv4adycitfDZBko1ekK5JxAWwGApNlHK%2Fw1uqxBLxSHSWxeNniFWVZdSkvP4nh52%2BzdChJJkfFlaLCMFj2vSprdZ3noqN2FZtB989caxxuGujk%2F6RFQMeR%2Bk6WSFDwFgNEtpSPzrFYrOus2Rv0zcf1NEAR0ECzr%2B2cIC3JpIyWiBHiVn%2F4xfF5OZxqp43FVU1%2FoS4Hn0DfV0V3b%2FE2vkt40P%2BhmwUuSnt6MJoqZPk1XsWKY6OXTO%2BxpQp%2ByFinGPQAn4VJ9vfgvbCxx3IN1qmbd953126S3
﻿바디케어,핸드케어,"
                      best
                      9
","
                랩신 V3 토탈 핸드 워시 250ml
","
                최저1,930원
",상품평 (138),https://cr2.shopping.naver.com/adcr.nhn?x=zaW5YZC8FRNztCfYKaVls%2F%2F%2F%2Fw%3D%3Dsk4DZu5J0rhENeIiZM0iEFh1dwtYngPdR0SFRNwAYsbcUdKZ0%2BjRBVLsIwsVqwlvJBRM7VWIspDtgOHNuvfCQbRApdS%2Bdj5IGpCbNdIjLdNu13CC%2B6xCjlVXczs8Y84y3oC9VgPnB016qWjqH%2FW74PlLQyUT1mGnRl17GUsatHr8g%2Bw%2F4QvDbD1Sg4XRD5OP6Ks1HNCV7zXm2%2BW0SZDISJGG444UqbwCWeSrRIuRqU8hS0cU1Bz%2B6ZmAzyqC1%2FXrRuO%2BR1DrhwpjB%2BO1vb%2B7%2BO9qUHsgHKRqzd6nX3jcvUwNAyJ0E5ZZ4JwNcjVikpEkvmHGCRnDCD%2Fs9hovS%2Bt1gJvBXplUwq%2BQO%2FH6s%2FQqagqikPsf2OZDKBFGNSlFtkB6GgaFu8EEARh2oPpRXyDIiHGcSP3vxVUs4PZ4Ke2IjMW4ZaO1NXbgkpTBydkG%2FwTW6u9ccmSKoHY8oHZBazCO9AqyNwUZsGl0PzL6KkhIoF%2FITU766HNnijPhPQa2qqWYuv8jcvQ1%2BP5quroZqiAUXKffWJwDl85pyiMvfvSxnqXugyC7azCO%2FMDdt0XnMbevmVf4Ez%2BJ%2FxgqA2eWB%2FuAF4jYNo3wWO5uwObOP2PsDewc%3D
﻿바디케어,핸드케어,"
                      best
                      10
","
                록시땅 시어 드라이 스킨 핸드 크림 150ml
","
                최저21,900원
","상품평 (3,085)",https://cr2.shopping.naver.com/adcr.nhn?x=2cKQnP%2Btx3e06MWGgwHg1f%2F%2F%2Fw%3D%3DsG%2BCpeaSxI%2Bfvm0Oi2UC2x4av3YrbOKNDs6t0oodETKC5BNqx2we2d7zoWBMiIsTVO%2FcsOlJbyVCn2RNEhsRW7BApdS%2Bdj5IGpCbNdIjLdNu13CC%2B6xCjlVXczs8Y84y3oC9VgPnB016qWjqH%2FW74PlLQyUT1mGnRl17GUsatHr8g%2Bw%2F4QvDbD1Sg4XRD5OP6Ks1HNCV7zXm2%2BW0SZDISJEG2Ey%2FcSxs%2FYxK0LE4WXqykTO90bayFKrriesnyyT3YuO%2BR1DrhwpjB%2BO1vb%2B7%2BO9qUHsgHKRqzd6nX3jcvUwNAyJ0E5ZZ4JwNcjVikpEkvmHGCRnDCD%2Fs9hovS%2Bt1gJnsZdKjV8zLGusBvjBNs0vgpzOlCzwFxqBmRzQmTW5crEQAUPliy1BG3PTluVSl4hds%2BrBwm%2FXzLBlCrEGyQpykVB%2Fd9YwyIjbPFvZKa9eyhPnwyk2w3q8rT8L1EbCQo7grFAi%2BVQSE1x9y3lPzxU9E10dqHAvauvOXFdtZalBQ6KZxIYMz1dzIxWStyA4MJT%2BGIkh8S1DJTtRX5dUf0K6R3f94a6iId26QQCHXTPe7B%2B73eFl0P4Sh0%2B9lF6eU%2BfyZ6yTUBaUSXdIAFxQtp0AnuoO2PAt%2BNFMgOVN33z9zjm1ZLWw%2BF5x8WH%2BAAavQWpg%3D%3D
